"C02584V03137","Vehicle Category","C01841V02268","Type of Fuel","TLIST(M1)","Month","STATISTIC","Statistic Label","UNIT","VALUE"
"-","All vehicle types","-","All fuel types","200601","2006M01","TDM01C1","All Vehicle Registrations","Number","61159"
"-","All vehicle types","-","All fuel types","200601","2006M01","TDM01C2","New Vehicle Registrations","Number","54217"
"-","All vehicle types","-","All fuel types","200601","2006M01","TDM01C3","Second Hand Vehicle Registrations","Number","6942"
"-","All vehicle types","-","All fuel types","200602","2006M02","TDM01C1","All Vehicle Registrations","Number","39883"
"-","All vehicle types","-","All fuel types","200602","2006M02","TDM01C2","New Vehicle Registrations","Number","32269"
"-","All vehicle types","-","All fuel types","200602","2006M02","TDM01C3","Second Hand Vehicle Registrations","Number","7614"
"-","All vehicle types","-","All fuel types","200603","2006M03","TDM01C1","All Vehicle Registrations","Number","41363"
"-","All vehicle types","-","All fuel types","200603","2006M03","TDM01C2","New Vehicle Registrations","Number","33176"
"-","All vehicle types","-","All fuel types","200603","2006M03","TDM01C3","Second Hand Vehicle Registrations","Number","8187"
"-","All vehicle types","-","All fuel types","200604","2006M04","TDM01C1","All Vehicle Registrations","Number","30716"
"-","All vehicle types","-","All fuel types","200604","2006M04","TDM01C2","New Vehicle Registrations","Number","23568"
"-","All vehicle types","-","All fuel types","200604","2006M04","TDM01C3","Second Hand Vehicle Registrations","Number","7148"
"-","All vehicle types","-","All fuel types","200605","2006M05","TDM01C1","All Vehicle Registrations","Number","30813"
"-","All vehicle types","-","All fuel types","200605","2006M05","TDM01C2","New Vehicle Registrations","Number","22577"
"-","All vehicle types","-","All fuel types","200605","2006M05","TDM01C3","Second Hand Vehicle Registrations","Number","8236"
"-","All vehicle types","-","All fuel types","200606","2006M06","TDM01C1","All Vehicle Registrations","Number","28198"
"-","All vehicle types","-","All fuel types","200606","2006M06","TDM01C2","New Vehicle Registrations","Number","20473"
"-","All vehicle types","-","All fuel types","200606","2006M06","TDM01C3","Second Hand Vehicle Registrations","Number","7725"
"-","All vehicle types","-","All fuel types","200607","2006M07","TDM01C1","All Vehicle Registrations","Number","23180"
"-","All vehicle types","-","All fuel types","200607","2006M07","TDM01C2","New Vehicle Registrations","Number","15905"
"-","All vehicle types","-","All fuel types","200607","2006M07","TDM01C3","Second Hand Vehicle Registrations","Number","7275"
"-","All vehicle types","-","All fuel types","200608","2006M08","TDM01C1","All Vehicle Registrations","Number","20738"
"-","All vehicle types","-","All fuel types","200608","2006M08","TDM01C2","New Vehicle Registrations","Number","12774"
"-","All vehicle types","-","All fuel types","200608","2006M08","TDM01C3","Second Hand Vehicle Registrations","Number","7964"
"-","All vehicle types","-","All fuel types","200609","2006M09","TDM01C1","All Vehicle Registrations","Number","17053"
"-","All vehicle types","-","All fuel types","200609","2006M09","TDM01C2","New Vehicle Registrations","Number","9794"
"-","All vehicle types","-","All fuel types","200609","2006M09","TDM01C3","Second Hand Vehicle Registrations","Number","7259"
"-","All vehicle types","-","All fuel types","200610","2006M10","TDM01C1","All Vehicle Registrations","Number","14717"
"-","All vehicle types","-","All fuel types","200610","2006M10","TDM01C2","New Vehicle Registrations","Number","7055"
"-","All vehicle types","-","All fuel types","200610","2006M10","TDM01C3","Second Hand Vehicle Registrations","Number","7662"
"-","All vehicle types","-","All fuel types","200611","2006M11","TDM01C1","All Vehicle Registrations","Number","10917"
"-","All vehicle types","-","All fuel types","200611","2006M11","TDM01C2","New Vehicle Registrations","Number","3492"
"-","All vehicle types","-","All fuel types","200611","2006M11","TDM01C3","Second Hand Vehicle Registrations","Number","7425"
"-","All vehicle types","-","All fuel types","200612","2006M12","TDM01C1","All Vehicle Registrations","Number","5984"
"-","All vehicle types","-","All fuel types","200612","2006M12","TDM01C2","New Vehicle Registrations","Number","1521"
"-","All vehicle types","-","All fuel types","200612","2006M12","TDM01C3","Second Hand Vehicle Registrations","Number","4463"
"-","All vehicle types","-","All fuel types","200701","2007M01","TDM01C1","All Vehicle Registrations","Number","67480"
"-","All vehicle types","-","All fuel types","200701","2007M01","TDM01C2","New Vehicle Registrations","Number","59370"
"-","All vehicle types","-","All fuel types","200701","2007M01","TDM01C3","Second Hand Vehicle Registrations","Number","8110"
"-","All vehicle types","-","All fuel types","200702","2007M02","TDM01C1","All Vehicle Registrations","Number","41658"
"-","All vehicle types","-","All fuel types","200702","2007M02","TDM01C2","New Vehicle Registrations","Number","34028"
"-","All vehicle types","-","All fuel types","200702","2007M02","TDM01C3","Second Hand Vehicle Registrations","Number","7630"
"-","All vehicle types","-","All fuel types","200703","2007M03","TDM01C1","All Vehicle Registrations","Number","43594"
"-","All vehicle types","-","All fuel types","200703","2007M03","TDM01C2","New Vehicle Registrations","Number","35482"
"-","All vehicle types","-","All fuel types","200703","2007M03","TDM01C3","Second Hand Vehicle Registrations","Number","8112"
